epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2655.12,0.94367,0.33757,0.00215,0.98204,0.97011,0.9901,0.78431,0.876,0.30378,0.00268,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
31,2722.18,0.9563,0.33118,0.00216,0.97367,0.96485,0.98897,0.77795,0.88848,0.29581,0.00274,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,2796.37,0.94701,0.33459,0.00216,0.97301,0.97286,0.99094,0.78503,0.87012,0.28807,0.00266,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
33,2872.47,0.9427,0.33479,0.00211,0.97507,0.97976,0.99092,0.78517,0.84905,0.28686,0.00259,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
34,2950.82,0.92941,0.33353,0.00215,0.97573,0.9739,0.98702,0.77967,0.8618,0.28323,0.00264,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
35,3026.91,0.94049,0.32957,0.00212,0.98195,0.96549,0.98955,0.78188,0.86544,0.28564,0.00266,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
36,3099.95,0.94519,0.3381,0.0022,0.96599,0.98225,0.99038,0.7894,0.85246,0.28084,0.00263,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
37,3169.01,0.92472,0.32635,0.0021,0.97296,0.9739,0.98688,0.79032,0.84008,0.28508,0.00257,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
38,3245.76,0.91759,0.32322,0.0021,0.9841,0.96919,0.98966,0.7896,0.85809,0.28688,0.00264,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
39,3323.94,0.90465,0.31561,0.00209,0.97069,0.96795,0.98689,0.79062,0.84806,0.28688,0.0026,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
